countyFIPS,County Name,pop.cat
29001,Adair,Semi
29003,Andrew,Rural
29005,Atchison,Rural
29007,Audrain,Semi
29009,Barry,Semi
29011,Barton,Rural
29013,Bates,Semi
29015,Benton,Rural
29017,Bollinger,Rural
29019,Boone County,Semi
29021,Buchanan,Urban
29023,Butler,Semi
29025,Caldwell,Rural
29027,Callaway,Semi
29029,Camden,Rural
29031,Cape Girardeau,Semi
29033,Carroll,Semi
29035,Carter,Rural
29037,Cass,Rural
29039,Cedar,Semi
29041,Chariton,Rural
29043,Christian,Rural
29045,Clark,Rural
29047,Clay,Semi
29049,Clinton,Semi
29051,Cole,Urban
29053,Cooper,Semi
29055,Crawford,Rural
29057,Dade,Rural
29059,Dallas,Rural
29061,Daviess,Rural
29063,DeKalb,Rural
29065,Dent,Rural
29067,Douglas,Rural
29069,Dunklin,Semi
29071,Franklin,Semi
29073,Gasconade,Rural
29075,Gentry,Rural
29077,Greene,Urban
29079,Grundy,Semi
29081,Harrison,Rural
29083,Henry,Semi
29085,Hickory,Rural
29087,Holt,Rural
29089,Howard,Semi
29091,Howell,Semi
29093,Iron,Rural
29095,Jackson,Urban
29097,Jasper,Urban
29099,Jefferson,Semi
29101,Johnson,Semi
29103,Knox,Rural
29105,Laclede,Rural
29107,Lafayette,Semi
29109,Lawrence,Semi
29111,Lewis,Rural
29113,Lincoln,Rural
29115,Linn,Semi
29117,Livingston,Semi
29119,McDonald,Rural
29121,Macon,Semi
29123,Madison,Semi
29125,Maries,Rural
29127,Marion,Urban
29129,Mercer,Rural
29131,Miller,Rural
29133,Mississippi,Semi
29135,Moniteau,Rural
29137,Monroe,Rural
29139,Montgomery,Rural
29141,Morgan,Rural
29143,New Madrid,Rural
29145,Newton,Semi
29147,Nodaway,Semi
29149,Oregon,Rural
29151,Osage,Rural
29153,Ozark,Rural
29155,Pemiscot,Semi
29157,Perry,Rural
29159,Pettis,Urban
29161,Phelps,Rural
29163,Pike,Semi
29165,Platte,Rural
29167,Polk,Rural
29169,Pulaski,Rural
29171,Putnam,Rural
29173,Ralls,Rural
29175,Randolph,Semi
29177,Ray,Semi
29179,Reynolds,Rural
29181,Ripley,Rural
29183,St. Charles,Semi
29185,St. Clair,Rural
29186,Ste. Genevieve,Rural
29187,St. Francois,Semi
29189,St. Louis County,Semi
29195,Saline,Semi
29197,Schuyler,Rural
29199,Scotland,Rural
29201,Scott,Semi
29203,Shannon,Rural
29205,Shelby,Rural
29207,Stoddard,Rural
29209,Stone,Rural
29211,Sullivan,Rural
29213,Taney,Rural
29215,Texas,Rural
29217,Vernon,Semi
29219,Warren,Rural
29221,Washington,Rural
29223,Wayne,Rural
29225,Webster,Rural
29227,Worth,Rural
29229,Wright,Rural
29510,St. Louis City,Urban
