countyFIPS,County Name,pop.cat
29001,Adair County ,Urban
29003,Andrew County ,Semi
29005,Atchison County ,Rural
29007,Audrain County ,Urban
29009,Barry County ,Semi
29011,Barton County ,Semi
29013,Bates County ,Semi
29015,Benton County ,Semi
29017,Bollinger County ,Rural
29019,Boone County ,Urban
29021,Buchanan County ,Urban
29023,Butler County ,Semi
29025,Caldwell County ,Rural
29027,Callaway County ,Semi
29029,Camden County ,Semi
29031,Cape Girardeau County ,Urban
29033,Carroll County ,Semi
29035,Carter County ,Rural
29037,Cass County ,Urban
29039,Cedar County ,Semi
29041,Chariton County ,Rural
29043,Christian County ,Urban
29045,Clark County ,Rural
29047,Clay County ,Urban
29049,Clinton County ,Semi
29051,Cole County ,Urban
29053,Cooper County ,Semi
29055,Crawford County ,Semi
29057,Dade County ,Rural
29059,Dallas County ,Semi
29061,Daviess County ,Rural
29063,DeKalb County ,Semi
29065,Dent County ,Semi
29067,Douglas County ,Semi
29069,Dunklin County ,Semi
29071,Franklin County ,Semi
29073,Gasconade County ,Semi
29075,Gentry County ,Rural
29077,Greene County ,Urban
29079,Grundy County ,Urban
29081,Harrison County ,Semi
29083,Henry County ,Urban
29085,Hickory County ,Rural
29087,Holt County ,Rural
29089,Howard County ,Semi
29091,Howell County ,Semi
29093,Iron County ,Semi
29095,Jackson County ,Urban
29097,Jasper County ,Urban
29099,Jefferson County ,Urban
29101,Johnson County ,Semi
29103,Knox County ,Rural
29105,Laclede County ,Semi
29107,Lafayette County ,Semi
29109,Lawrence County ,Semi
29111,Lewis County ,Rural
29113,Lincoln County ,Semi
29115,Linn County ,Semi
29117,Livingston County ,Urban
29119,McDonald County ,Rural
29121,Macon County ,Semi
29123,Madison County ,Semi
29125,Maries County ,Rural
29127,Marion County ,Urban
29129,Mercer County ,Rural
29131,Miller County ,Semi
29133,Mississippi County ,Urban
29135,Moniteau County ,Semi
29137,Monroe County ,Rural
29139,Montgomery County ,Semi
29141,Morgan County ,Rural
29143,New Madrid County ,Semi
29145,Newton County ,Semi
29147,Nodaway County ,Urban
29149,Oregon County ,Semi
29151,Osage County ,Rural
29153,Ozark County ,Rural
29155,Pemiscot County ,Urban
29157,Perry County ,Semi
29159,Pettis County ,Urban
29161,Phelps County ,Urban
29163,Pike County ,Semi
29165,Platte County ,Urban
29167,Polk County ,Semi
29169,Pulaski County ,Urban
29171,Putnam County ,Rural
29173,Ralls County ,Semi
29175,Randolph County ,Urban
29177,Ray County ,Semi
29179,Reynolds County ,Rural
29181,Ripley County ,Rural
29183,St. Charles County ,Urban
29185,St. Clair County ,Rural
29186,Ste. Genevieve County ,Semi
29187,St. Francois County ,Urban
29189,St. Louis County ,Urban
29195,Saline County ,Urban
29197,Schuyler County ,Rural
29199,Scotland County ,Rural
29201,Scott County ,Urban
29203,Shannon County ,Rural
29205,Shelby County ,Rural
29207,Stoddard County ,Semi
29209,Stone County ,Semi
29211,Sullivan County ,Rural
29213,Taney County ,Urban
29215,Texas County ,Semi
29217,Vernon County ,Semi
29219,Warren County ,Semi
29221,Washington County ,Semi
29223,Wayne County ,Rural
29225,Webster County ,Semi
29227,Worth County ,Rural
29229,Wright County ,Semi
29510,City of St. Louis,Urban
