FIP,9/8/1918,9/15/1918,9/22/1918,9/29/1918,10/6/1918,10/13/1918,10/20/1918,10/27/1918,11/3/1918,11/10/1918,11/17/1918,11/24/1918,12/1/1918,12/8/1918,12/15/1918,12/22/1918,12/29/1918,1/5/1919,1/12/1919,1/19/1919,1/26/1919,2/2/1919,2/9/1919,2/16/1919,2/23/1919,3/2/1919,3/9/1919,3/16/1919,3/23/1919,3/30/1919,4/6/1919,4/13/1919,4/20/1919,4/27/1919,5/4/1919,5/11/1919,5/18/1919,5/25/1919,6/1/1919,6/8/1919,6/15/1919,6/22/1919,6/29/1919,7/6/1919,7/13/1919,7/20/1919,7/27/1919,8/3/1919,8/10/1919,8/17/1919,8/24/1919,8/31/1919,9/7/1919,9/14/1919,9/21/1919,9/28/1919,10/5/1919,10/12/1919,10/19/1919,10/26/1919,11/2/1919,11/9/1919,11/16/1919,11/23/1919,11/30/1919,12/7/1919,12/14/1919,12/21/1919,12/28/1919,1/4/1920,1/11/1920,1/18/1920,1/25/1920,2/1/1920,2/8/1920,2/15/1920,2/22/1920,2/29/1920,3/7/1920,3/14/1920,3/21/1920,3/28/1920,4/4/1920,4/11/1920,4/18/1920,4/25/1920,5/2/1920,5/9/1920,5/16/1920,5/23/1920,5/30/1920,6/6/1920,6/13/1920,6/20/1920,6/27/1920,7/4/1920,7/11/1920,7/18/1920,7/25/1920,8/1/1920,8/8/1920,8/15/1920,8/22/1920,8/29/1920
1,0,0,1,1,1,3,3,8,4,21,9,7,5,6,4,6,6,2,1,3,5,1,2,3,2,1,3,2,0,5,1,7,2,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,1,0,2,0,5,14,13,7,3,2,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3,0,0,0,1,5,8,5,8,2,4,0,0,3,7,3,3,1,1,2,1,0,2,0,0,1,0,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,2,5,2,1,3,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,1,0,1,1,3,5,4,4,2,3,0,0,1,0,1,3,2,1,1,1,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0,0,1,0,0,3,4,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,1,1,1,1,0,6,0,2,1,4,4,11,13,6,8,5,4,1,2,1,3,0,2,1,2,1,4,2,1,1,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,3,10,18,9,3,2,1,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,3,2,10,7,8,3,3,2,6,8,10,5,7,5,4,3,4,1,4,0,1,2,1,1,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,2,2,0,3,1,1,0,6,6,4,2,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,2,1,5,2,3,5,3,1,8,14,12,5,5,2,0,4,0,4,0,0,1,2,2,2,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,1,1,1,3,6,12,5,1,2,1,1,0,1,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
13,0,0,0,0,2,2,8,7,8,10,9,9,5,9,11,2,1,6,3,3,4,3,4,3,1,1,1,0,1,3,1,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,2,2,3,6,15,11,7,1,4,4,2,2,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,0,1,0,0,2,0,2,2,2,0,0,1,8,15,10,3,3,1,2,0,1,2,0,2,0,0,0,1,3,0,6,3,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,3,4,3,5,1,1,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,1,0,1,0,3,4,2,1,1,5,5,2,0,1,3,1,4,2,2,1,1,2,2,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,4,6,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,1,2,1,11,20,10,11,6,8,10,13,9,11,7,5,6,4,3,2,4,0,1,1,1,5,2,4,0,1,1,2,1,0,0,2,1,1,2,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,2,3,0,3,25,20,4,6,2,2,1,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0
