FIP,2/1/1918,3/1/1918,4/1/1918,5/1/1918,6/1/1918,7/1/1918,8/1/1918,9/1/1918,10/1/1918,11/1/1918,12/1/1918,1/1/1919,2/1/1919,3/1/1919,4/1/1919,5/1/1919,6/1/1919,7/1/1919,8/1/1919,9/1/1919,10/1/1919,11/1/1919,12/1/1919,1/1/1920,2/1/1920,3/1/1920,4/1/1920,5/1/1920,6/1/1920,7/1/1920,8/1/1920,9/1/1920,10/1/1920,11/1/1920,12/1/1920,1/1/1921
1,7,4,5,3,4,1,2,1,2,15,41,27,11,8,11,11,4,1,1,0,0,3,2,1,3,42,9,2,0,1,1,0,0,2,2,4
3,6,6,7,2,0,1,0,0,1,26,6,17,4,3,7,1,0,0,0,1,2,3,1,0,5,13,1,3,1,0,0,1,1,0,0,3
5,5,5,4,1,4,0,0,10,1,3,13,9,5,5,6,2,0,1,0,1,0,0,5,2,1,11,3,1,0,0,0,1,0,0,1,1
7,9,2,3,2,0,3,1,0,3,7,11,43,8,6,10,2,3,2,1,1,1,0,1,4,4,42,5,0,1,1,1,0,1,1,3,7
9,4,5,8,2,2,1,0,1,0,22,16,36,16,6,5,3,0,3,1,3,0,2,2,6,5,18,4,1,2,1,0,1,0,4,0,2
11,3,2,0,4,0,0,0,1,1,10,12,44,6,5,9,3,1,0,1,1,0,0,5,2,3,27,4,1,5,1,1,1,2,2,1,2
13,14,4,5,2,1,0,0,0,0,19,36,28,16,11,6,6,1,1,0,1,2,0,4,2,8,40,12,6,1,0,1,1,0,0,2,4
15,45,0,5,1,2,0,1,0,1,6,3,39,4,4,4,11,3,1,1,0,0,2,0,0,6,16,4,4,1,0,0,0,0,0,0,1
17,4,1,4,1,2,1,1,0,1,4,8,13,10,6,8,1,0,0,0,0,1,0,0,1,2,16,2,0,1,0,0,0,0,0,0,2
19,10,5,1,16,2,1,0,0,4,42,35,45,15,6,12,5,3,5,0,5,0,0,5,1,8,57,4,3,1,1,2,1,3,3,9,5
21,34,32,40,26,18,3,3,3,7,225,71,148,46,39,33,31,6,6,4,3,6,8,13,17,12,126,25,13,26,8,3,10,9,8,13,13
23,22,9,13,3,4,0,1,0,1,67,57,39,27,15,20,7,2,2,1,1,2,3,11,6,7,48,23,7,3,1,3,1,1,1,0,5
25,2,3,4,2,2,0,0,0,3,10,9,23,8,6,9,1,0,0,0,0,1,1,2,1,9,10,4,0,1,0,0,1,0,0,3,0
27,13,9,6,7,1,0,1,0,0,32,23,27,19,9,7,2,0,0,1,2,0,0,6,0,5,41,6,3,2,1,0,2,3,1,0,7
29,2,1,2,2,0,1,0,0,0,4,6,11,11,6,4,6,1,0,1,0,1,2,1,0,2,11,0,0,0,0,0,2,0,1,1,0
31,9,6,6,3,3,2,0,0,3,17,31,53,43,11,7,7,2,2,0,1,4,1,2,9,6,22,8,2,1,2,1,0,1,1,11,5
33,9,0,4,5,0,0,0,0,1,33,38,43,14,12,8,1,2,0,1,1,0,1,1,0,4,25,2,1,1,0,0,0,0,0,2,2
35,1,0,1,1,0,0,0,0,0,38,7,6,5,3,5,2,0,0,0,1,0,1,0,1,1,9,0,1,0,2,0,1,0,0,0,0
37,3,1,5,0,0,1,0,1,2,10,24,20,25,13,15,2,0,1,0,0,0,1,5,0,5,28,3,7,0,0,0,1,0,3,1,2
39,6,1,4,1,0,0,0,1,1,10,1,18,8,1,5,1,2,0,0,0,1,0,0,3,3,29,5,0,0,0,1,0,1,0,4,4
41,8,5,4,1,1,0,0,1,1,15,27,42,6,3,7,4,1,1,1,0,2,0,0,2,3,33,5,2,0,2,0,0,0,0,2,6
43,0,2,0,0,0,0,1,1,1,6,2,11,10,4,7,4,1,0,0,0,0,0,2,0,5,32,5,3,1,0,0,0,0,1,0,2
45,4,1,3,3,0,0,0,0,1,8,9,18,0,0,3,2,0,0,0,0,0,0,1,0,2,12,3,1,0,0,0,0,1,2,1,0
47,9,11,9,7,5,1,0,11,2,12,18,31,26,10,4,5,3,1,2,0,0,1,2,3,10,27,6,3,2,0,1,4,1,0,1,4
49,2,5,7,1,0,0,0,0,0,14,14,26,4,0,7,3,0,1,0,0,0,1,3,2,3,21,1,1,1,2,2,0,0,0,1,2
51,5,7,9,4,3,0,1,0,1,13,22,51,8,8,12,3,1,1,1,0,0,2,1,3,3,33,5,5,5,0,0,0,2,1,1,0
53,7,2,6,6,1,1,0,0,0,8,27,26,13,4,12,3,1,0,0,0,0,2,0,3,2,27,3,3,1,2,0,2,0,1,2,3
55,2,2,1,3,4,0,0,1,0,11,13,5,6,7,2,0,1,0,0,0,0,0,2,1,5,8,8,0,1,1,0,0,0,1,1,0
57,6,1,4,1,1,0,0,1,5,18,9,14,5,10,4,3,0,1,0,0,0,0,1,2,4,19,7,4,3,1,2,1,0,4,0,0
59,4,2,1,1,0,1,0,0,0,3,5,8,3,3,3,0,0,1,1,1,1,0,2,4,0,4,4,1,0,0,0,1,0,0,0,2
61,5,3,2,1,0,2,1,0,1,12,17,16,1,3,14,2,2,0,0,2,1,2,0,2,2,26,2,4,1,0,1,0,0,0,1,1
63,2,2,1,2,1,0,0,0,0,2,12,14,3,4,3,0,1,0,0,0,0,1,5,2,3,5,0,4,0,0,0,0,0,0,4,0
65,4,0,3,0,0,0,0,0,4,17,6,16,5,0,2,6,3,0,2,0,1,0,2,0,1,16,7,0,0,1,0,0,0,2,1,5
67,1,0,1,1,0,0,1,1,0,13,8,8,8,4,1,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,2
69,20,7,8,9,7,0,0,3,5,260,93,35,28,32,41,13,4,4,2,2,2,3,16,7,7,45,20,10,6,0,3,4,6,6,4,3
71,12,9,10,3,2,0,1,0,3,12,31,22,11,9,17,4,1,0,1,1,0,0,0,4,8,19,6,2,4,0,1,1,1,0,4,3
73,3,3,3,3,1,1,0,0,0,8,15,10,3,2,5,5,2,1,0,1,0,0,0,0,3,4,3,1,1,0,0,0,0,0,2,2
75,2,5,6,1,0,0,0,1,2,17,6,11,3,3,11,3,2,3,0,1,0,1,0,0,0,15,8,1,0,1,0,1,0,1,3,1
77,11,13,14,10,12,1,5,3,18,210,48,81,45,15,24,10,9,0,6,5,5,4,10,6,22,115,28,9,5,1,3,5,1,5,10,10
79,6,5,2,1,2,0,0,0,2,8,13,17,8,7,7,5,1,0,0,0,2,0,1,2,6,19,2,3,1,0,0,0,1,3,4,0
81,4,4,1,5,3,0,1,0,2,17,8,32,18,22,12,4,2,0,0,0,0,0,5,0,4,27,8,3,1,0,0,1,0,1,3,2
83,7,11,4,2,3,0,0,0,3,46,21,22,14,7,22,8,2,0,1,1,0,2,1,5,8,34,8,2,0,3,1,1,0,2,2,1
85,1,0,0,2,0,0,0,0,0,10,2,12,5,1,4,1,0,0,0,1,0,1,1,0,1,2,2,1,1,0,0,0,1,1,0,0
87,3,2,1,1,1,0,1,1,1,6,9,12,7,4,2,1,0,1,0,0,0,1,1,0,2,22,6,2,1,0,0,0,0,1,1,5
89,5,1,4,0,0,0,0,0,0,15,12,17,6,3,4,3,3,0,0,0,0,0,4,0,8,13,5,3,0,0,0,1,2,1,0,1
91,4,3,2,3,1,2,1,0,0,13,12,23,11,6,3,2,1,0,1,0,1,2,0,1,9,24,7,5,1,1,0,0,0,0,1,5
93,3,0,1,0,2,1,0,0,0,4,10,8,1,4,9,3,1,0,0,0,0,0,1,0,4,16,1,1,1,0,0,0,0,0,0,0
95,121,101,197,79,46,28,10,11,99,674,403,755,232,199,245,104,37,24,23,17,15,2,39,25,248,509,92,43,53,27,14,38,20,30,50,46
97,28,22,17,25,14,3,3,4,12,115,138,162,49,54,52,11,8,2,6,10,5,4,12,16,22,94,16,11,6,2,3,1,12,8,9,7
99,9,6,8,1,5,1,3,0,2,63,31,42,27,11,13,9,0,0,0,0,1,0,4,5,15,39,7,4,2,3,1,1,1,0,3,6
101,6,1,5,3,1,0,0,0,1,11,14,25,7,5,10,2,4,0,1,0,0,1,3,3,13,37,10,3,1,0,0,1,0,0,3,6
103,3,0,2,0,0,0,0,0,0,8,3,6,4,0,2,0,1,2,1,2,0,0,1,1,3,14,4,1,1,0,0,0,0,0,1,0
105,5,2,5,4,1,1,0,0,0,13,2,11,9,7,7,1,1,0,0,2,0,0,0,3,1,15,9,1,2,0,0,2,0,0,2,4
107,12,2,8,6,3,1,0,1,1,33,31,43,13,17,13,5,3,0,1,1,2,1,3,1,13,71,7,5,1,0,2,1,1,3,1,2
109,2,3,7,3,2,1,0,0,1,26,18,30,27,10,9,2,0,1,0,1,0,2,3,1,8,28,9,3,3,4,0,1,0,0,2,0
111,3,4,4,1,1,0,0,0,2,6,9,10,4,3,5,4,3,1,0,1,1,0,0,2,1,19,1,1,0,1,0,1,0,1,0,1
113,5,6,0,0,2,0,0,0,4,8,6,21,8,5,7,3,2,1,0,1,1,1,2,5,9,17,1,2,3,3,0,1,1,0,4,3
115,4,7,0,5,2,1,0,0,2,20,30,33,2,12,10,3,1,1,0,1,0,1,0,3,1,29,7,2,1,1,0,2,2,0,1,3
117,2,4,2,5,3,0,0,1,1,27,16,18,9,3,8,5,4,0,2,0,0,2,0,0,9,11,2,4,2,1,0,0,0,3,0,2
119,4,1,2,1,1,0,1,0,0,6,7,8,4,3,3,2,2,1,0,1,0,0,1,2,3,14,5,4,0,0,0,0,0,0,1,1
