FIP,9/8/1918,9/15/1918,9/22/1918,9/29/1918,10/6/1918,10/13/1918,10/20/1918,10/27/1918,11/3/1918,11/10/1918,11/17/1918,11/24/1918,12/1/1918,12/8/1918,12/15/1918,12/22/1918,12/29/1918,1/4/1920,1/11/1920,1/18/1920,1/25/1920,2/1/1920,2/8/1920,2/15/1920,2/22/1920,2/29/1920,3/7/1920
1,0,0,1,1,1,3,3,8,4,21,9,7,5,6,4,6,6,1,0,2,0,5,14,13,7,3,2
3,0,0,0,1,5,8,5,8,2,4,0,0,3,7,3,3,1,0,1,1,3,2,5,2,1,3,0
5,0,0,0,1,1,1,0,1,1,3,5,4,4,2,3,0,0,0,1,0,0,3,4,2,0,2,1
7,0,1,1,1,1,0,6,0,2,1,4,4,11,13,6,8,5,0,1,0,3,10,18,9,3,2,1
9,0,0,0,0,3,2,10,7,8,3,3,2,6,8,10,5,7,0,3,1,1,0,6,6,4,2,3
11,0,0,0,0,2,1,5,2,3,5,3,1,8,14,12,5,5,0,1,1,1,3,6,12,5,1,2
13,0,0,0,0,2,2,8,7,8,10,9,9,5,9,11,2,1,1,2,2,3,6,15,11,7,1,4
15,0,1,0,0,2,0,2,2,2,0,0,1,8,15,10,3,3,1,1,2,2,1,3,4,3,5,1
17,0,0,0,1,0,1,0,3,4,2,1,1,5,5,2,0,1,0,1,0,1,2,4,6,2,2,0
19,1,0,1,2,1,11,20,10,11,6,8,10,13,9,11,7,5,2,3,0,3,25,20,4,6,2,2
21,1,0,1,5,28,79,77,41,25,19,12,15,30,43,36,26,13,1,2,3,6,27,34,36,20,9,4
23,0,1,0,0,5,17,19,26,18,17,11,11,10,11,5,7,6,0,3,2,2,3,4,10,18,13,13
25,0,1,0,2,0,3,3,4,5,2,0,2,6,6,5,4,2,1,2,2,4,1,7,1,1,0,2
27,0,0,0,0,2,8,12,10,8,7,2,6,6,8,6,4,3,1,2,0,2,3,12,14,8,4,1
29,0,0,0,0,0,1,3,0,2,1,2,1,4,2,2,2,1,1,0,0,1,2,2,2,5,0,0
31,0,3,0,0,2,2,3,10,9,11,6,5,6,13,11,18,5,1,2,0,3,6,7,2,2,5,4
33,0,0,1,0,1,4,15,13,17,8,6,7,15,14,10,3,1,2,2,0,0,9,6,5,3,2,0
35,0,0,0,0,7,11,12,8,4,2,0,1,1,0,2,1,2,0,0,1,0,0,3,3,1,2,0
37,0,0,0,1,3,3,3,1,6,6,6,6,6,7,4,2,1,1,1,1,2,9,5,7,4,3,0
39,0,0,0,1,0,3,2,5,0,1,0,0,4,3,7,4,0,1,0,1,1,3,7,11,3,5,3
41,0,0,0,1,3,3,3,6,3,7,11,6,13,11,10,4,4,0,1,1,1,3,10,6,9,5,2
43,0,0,0,1,1,4,0,1,0,1,0,1,0,2,3,4,2,1,1,0,3,2,5,8,11,6,3
45,0,0,0,1,4,1,0,3,3,1,1,4,6,5,2,3,2,1,0,0,1,2,3,3,3,1,0
47,1,0,0,1,0,0,7,5,3,5,6,4,8,9,6,5,3,0,3,1,6,11,4,9,1,2,1
49,0,0,0,0,2,8,4,0,4,0,3,7,14,8,3,0,1,1,0,1,1,4,8,5,2,2,0
51,0,0,0,1,1,4,3,5,2,2,7,11,6,15,20,7,3,1,1,0,1,6,7,9,7,4,4
53,0,0,0,0,2,0,1,5,9,7,6,5,10,7,5,1,3,0,0,0,2,5,5,10,4,3,1
55,0,0,0,0,2,4,3,2,1,3,5,4,2,1,0,0,2,3,0,0,2,4,2,1,0,1,3
57,1,0,0,3,7,6,3,2,0,2,2,5,7,6,0,1,0,1,0,0,3,4,8,2,3,2,2
59,0,0,0,0,1,1,0,1,2,1,0,2,1,1,1,3,2,0,0,0,0,1,1,0,0,2,1
61,0,0,0,1,1,6,2,3,4,4,3,6,3,7,5,1,0,1,0,1,0,3,12,6,2,3,1
63,0,0,0,0,0,1,0,1,1,2,4,5,8,1,3,1,1,1,0,0,2,0,2,1,1,1,0
65,0,0,0,4,5,4,5,3,1,1,3,1,5,2,6,1,2,0,0,0,1,0,2,5,4,5,3
67,0,0,0,0,3,4,3,3,2,5,0,1,1,3,1,1,2,0,0,0,0,2,3,0,0,0,0
69,0,3,0,2,5,57,102,96,35,27,19,12,12,6,4,6,7,1,5,0,1,1,12,15,10,7,7
71,0,0,1,2,4,4,3,1,4,4,10,13,8,2,1,4,7,1,3,2,2,6,2,7,2,2,1
73,0,0,0,0,0,2,2,4,5,5,4,1,5,1,2,0,2,1,1,1,0,1,0,2,0,1,2
75,1,0,1,0,1,3,4,9,1,1,2,2,0,2,2,3,4,0,0,0,0,3,2,4,1,5,5
77,0,0,0,17,88,65,33,24,7,15,12,14,24,15,20,13,9,5,7,1,9,21,30,33,13,18,15
79,0,1,0,1,2,2,1,3,1,5,3,4,3,5,4,3,2,1,0,1,4,3,8,3,1,4,0
81,0,0,0,2,0,8,6,3,3,3,2,0,10,9,8,2,3,3,0,0,1,1,6,10,4,6,5
83,0,1,0,2,14,12,9,11,8,7,4,2,0,7,3,5,7,3,0,2,3,4,9,8,9,4,2
85,0,0,0,0,3,3,1,3,0,0,1,1,1,5,3,1,2,0,0,0,1,1,0,0,1,0,0
87,0,0,0,1,0,3,2,1,4,4,1,0,3,1,6,1,1,0,0,1,1,4,8,5,4,1,2
89,0,0,0,0,3,7,5,0,3,2,4,3,7,5,1,3,1,3,2,0,3,1,5,2,3,2,3
91,0,0,0,0,0,3,7,3,4,2,3,3,8,8,3,2,2,2,0,3,4,0,6,11,5,2,2
93,0,0,0,0,0,2,0,2,5,4,0,1,1,3,0,3,1,0,1,1,2,4,3,5,1,3,0
95,6,9,12,68,118,187,199,170,131,91,70,111,212,253,161,73,56,7,30,94,117,236,151,62,32,28,30
97,1,3,2,5,13,19,42,41,42,35,32,29,43,41,39,21,18,4,7,5,6,16,25,28,15,10,4
99,0,0,0,1,4,17,31,11,8,4,10,9,11,11,9,4,7,2,2,7,4,6,12,14,5,2,1
101,0,1,0,0,1,1,4,5,3,3,3,5,8,7,5,1,4,2,2,2,7,12,7,16,0,2,5
103,0,0,0,0,3,3,2,0,1,0,0,2,1,5,0,0,0,0,0,1,2,1,6,3,1,3,2
105,0,0,0,0,2,4,3,4,1,1,0,0,4,0,3,0,4,0,0,1,0,4,1,3,5,2,2
107,0,0,0,1,6,15,6,6,7,4,11,9,14,17,8,1,3,0,4,5,4,18,26,17,8,2,4
109,0,0,0,1,5,11,6,4,5,8,5,0,2,9,7,5,7,0,2,2,4,3,7,5,7,6,3
111,0,0,0,2,2,3,0,1,2,1,3,3,2,4,2,1,1,1,0,0,0,2,5,3,4,5,1
113,0,0,3,0,5,3,0,0,1,2,2,1,0,4,1,8,8,1,1,1,6,4,6,2,4,1,0
115,0,1,1,0,4,2,5,9,12,3,8,7,15,15,2,1,0,1,0,0,0,4,8,7,6,4,2
117,0,1,0,0,0,6,14,7,6,2,3,5,3,5,3,3,4,0,1,3,5,4,3,2,2,0,0
